id,item,true,pred,cause,evidence_location,owner,note
PPS-DEV-037,v16,1,0,,,,미분류
PPS-DEV-038,v18,1,0,,,,미분류
PPS-DEV-039,v18,1,0,,,,미분류
PPS-DEV-039,v24,0,1,,,,미분류
PPS-DEV-040,v24,0,1,,,,미분류
PPS-DEV-042,v4,1,0,,,,미분류
PPS-DEV-042,v21,0,1,,,,미분류
PPS-DEV-045,v12,0,1,,,,미분류
PPS-DEV-045,v24,0,1,,,,미분류
PPS-DEV-048,v23,0,1,,,,미분류
PPS-DEV-048,v24,0,1,,,,미분류
PPS-DEV-049,v4,0,1,,,,미분류
PPS-DEV-049,v24,1,0,,,,미분류
PPS-DEV-050,v19,0,1,,,,미분류
PPS-DEV-050,v24,0,1,,,,미분류
PPS-DEV-051,v9,1,0,,,,미분류
PPS-DEV-051,v19,0,1,,,,미분류
PPS-DEV-051,v24,0,1,,,,미분류
PPS-DEV-052,v19,0,1,,,,미분류
PPS-DEV-053,v1,0,1,,,,미분류
PPS-DEV-053,v4,1,0,,,,미분류
PPS-DEV-054,v5,0,1,,,,미분류
PPS-DEV-054,v7,1,0,,,,미분류
PPS-DEV-058,v16,1,0,,,,미분류
PPS-DEV-058,v24,0,1,,,,미분류
PPS-DEV-061,v24,0,1,,,,미분류
PPS-DEV-062,v4,1,0,,,,미분류
PPS-DEV-062,v10,1,0,,,,미분류
PPS-DEV-062,v11,1,0,,,,미분류
PPS-DEV-062,v16,0,1,,,,미분류
PPS-DEV-062,v23,0,1,,,,미분류
PPS-DEV-062,v24,1,0,,,,미분류
PPS-DEV-064,v10,1,0,,,,미분류
PPS-DEV-064,v11,1,0,,,,미분류
PPS-DEV-064,v24,0,1,,,,미분류
PPS-DEV-066,v16,1,0,,,,미분류
PPS-DEV-066,v24,0,1,,,,미분류
PPS-DEV-069,v13,1,0,,,,미분류
PPS-DEV-072,v1,1,0,,,,미분류
PPS-DEV-072,v6,1,0,,,,미분류
PPS-DEV-072,v7,1,0,,,,미분류
PPS-DEV-076,v13,1,0,,,,미분류
PPS-DEV-076,v24,0,1,,,,미분류
PPS-DEV-079,v23,0,1,,,,미분류
PPS-DEV-083,v24,0,1,,,,미분류
PPS-DEV-084,v7,0,1,,,,미분류
PPS-DEV-086,v19,0,1,,,,미분류
