id,item,true,pred,cause,evidence_location,owner,note
PPS-DEV-03,v2,1,0,,,,미분류
PPS-DEV-03,v3,0,1,,,,미분류
PPS-DEV-03,v13,0,1,,,,미분류
PPS-DEV-033,v10,0,1,,,,미분류
PPS-DEV-033,v17,1,0,,,,미분류
PPS-DEV-033,v19,1,0,,,,미분류
PPS-DEV-036,v10,0,1,,,,미분류
PPS-DEV-036,v15,1,0,,,,미분류
PPS-DEV-037,v16,1,0,,,,미분류
PPS-DEV-038,v17,0,1,,,,미분류
PPS-DEV-038,v18,1,0,,,,미분류
PPS-DEV-038,v24,0,1,,,,미분류
PPS-DEV-039,v10,0,1,,,,미분류
PPS-DEV-039,v18,1,0,,,,미분류
PPS-DEV-039,v21,0,1,,,,미분류
PPS-DEV-039,v24,0,1,,,,미분류
PPS-DEV-044,v17,0,1,,,,미분류
PPS-DEV-044,v18,1,0,,,,미분류
PPS-DEV-044,v24,0,1,,,,미분류
PPS-DEV-045,v5,1,0,,,,미분류
PPS-DEV-045,v24,0,1,,,,미분류
PPS-DEV-046,v1,1,0,,,,미분류
PPS-DEV-046,v24,0,1,,,,미분류
PPS-DEV-047,v24,0,1,,,,미분류
PPS-DEV-049,v5,1,0,,,,미분류
PPS-DEV-049,v24,1,0,,,,미분류
PPS-DEV-05,v14,0,1,,,,미분류
PPS-DEV-050,v24,0,1,,,,미분류
PPS-DEV-051,v9,1,0,,,,미분류
PPS-DEV-051,v10,0,1,,,,미분류
PPS-DEV-051,v14,1,0,,,,미분류
PPS-DEV-052,v4,0,1,,,,미분류
PPS-DEV-052,v10,0,1,,,,미분류
PPS-DEV-052,v14,1,0,,,,미분류
PPS-DEV-053,v2,1,0,,,,미분류
PPS-DEV-053,v12,1,0,,,,미분류
PPS-DEV-053,v17,1,0,,,,미분류
PPS-DEV-054,v14,1,0,,,,미분류
PPS-DEV-055,v24,1,0,,,,미분류
PPS-DEV-056,v12,1,0,,,,미분류
PPS-DEV-056,v13,0,1,,,,미분류
PPS-DEV-056,v20,0,1,,,,미분류
PPS-DEV-056,v21,1,0,,,,미분류
PPS-DEV-057,v12,1,0,,,,미분류
PPS-DEV-057,v14,1,0,,,,미분류
PPS-DEV-058,v16,1,0,,,,미분류
PPS-DEV-059,v10,0,1,,,,미분류
PPS-DEV-059,v13,0,1,,,,미분류
PPS-DEV-060,v11,1,0,,,,미분류
PPS-DEV-060,v24,0,1,,,,미분류
PPS-DEV-061,v24,0,1,,,,미분류
PPS-DEV-063,v1,1,0,,,,미분류
PPS-DEV-063,v12,0,1,,,,미분류
PPS-DEV-064,v11,1,0,,,,미분류
PPS-DEV-064,v20,0,1,,,,미분류
PPS-DEV-065,v16,1,0,,,,미분류
PPS-DEV-066,v6,1,0,,,,미분류
PPS-DEV-066,v16,1,0,,,,미분류
PPS-DEV-066,v24,0,1,,,,미분류
PPS-DEV-068,v24,0,1,,,,미분류
PPS-DEV-069,v2,1,0,,,,미분류
PPS-DEV-069,v10,1,0,,,,미분류
PPS-DEV-07,v24,0,1,,,,미분류
PPS-DEV-070,v6,1,0,,,,미분류
PPS-DEV-071,v6,1,0,,,,미분류
PPS-DEV-072,v1,1,0,,,,미분류
PPS-DEV-073,v24,0,1,,,,미분류
PPS-DEV-074,v13,1,0,,,,미분류
PPS-DEV-075,v10,1,0,,,,미분류
PPS-DEV-076,v13,1,0,,,,미분류
PPS-DEV-076,v24,0,1,,,,미분류
PPS-DEV-077,v24,0,1,,,,미분류
PPS-DEV-078,v2,1,0,,,,미분류
PPS-DEV-08,v24,0,1,,,,미분류
PPS-DEV-09,v10,0,1,,,,미분류
PPS-DEV-09,v24,0,1,,,,미분류
PPS-DEV-090,v17,0,1,,,,미분류
PPS-DEV-091,v24,0,1,,,,미분류
PPS-DEV-092,v6,0,1,,,,미분류
PPS-DEV-094,v10,0,1,,,,미분류
PPS-DEV-096,v19,0,1,,,,미분류
PPS-DEV-097,v18,0,1,,,,미분류
PPS-DEV-098,v19,0,1,,,,미분류
PPS-DEV-099,v24,0,1,,,,미분류
PPS-DEV-10,v24,0,1,,,,미분류
PPS-DEV-101,v1,0,1,,,,미분류
PPS-DEV-101,v9,0,1,,,,미분류
PPS-DEV-102,v6,0,1,,,,미분류
PPS-DEV-102,v13,0,1,,,,미분류
PPS-DEV-103,v24,0,1,,,,미분류
PPS-DEV-104,v9,0,1,,,,미분류
PPS-DEV-105,v17,0,1,,,,미분류
PPS-DEV-108,v9,0,1,,,,미분류
PPS-DEV-108,v10,0,1,,,,미분류
PPS-DEV-109,v23,0,1,,,,미분류
PPS-DEV-11,v5,0,1,,,,미분류
PPS-DEV-11,v24,0,1,,,,미분류
PPS-DEV-112,v3,0,1,,,,미분류
PPS-DEV-112,v19,0,1,,,,미분류
PPS-DEV-12,v10,0,1,,,,미분류
PPS-DEV-122,v13,0,1,,,,미분류
PPS-DEV-122,v24,0,1,,,,미분류
PPS-DEV-123,v24,0,1,,,,미분류
PPS-DEV-124,v10,0,1,,,,미분류
PPS-DEV-126,v10,0,1,,,,미분류
PPS-DEV-127,v3,0,1,,,,미분류
PPS-DEV-127,v21,0,1,,,,미분류
PPS-DEV-128,v9,0,1,,,,미분류
PPS-DEV-128,v10,0,1,,,,미분류
PPS-DEV-13,v10,1,0,,,,미분류
PPS-DEV-130,v9,0,1,,,,미분류
PPS-DEV-130,v10,0,1,,,,미분류
PPS-DEV-131,v20,1,0,,,,미분류
PPS-DEV-132,v9,0,1,,,,미분류
PPS-DEV-132,v20,1,0,,,,미분류
PPS-DEV-133,v4,0,1,,,,미분류
PPS-DEV-134,v20,1,0,,,,미분류
PPS-DEV-135,v22,1,0,,,,미분류
PPS-DEV-136,v9,0,1,,,,미분류
PPS-DEV-139,v23,1,0,,,,미분류
PPS-DEV-141,v23,1,0,,,,미분류
PPS-DEV-142,v10,0,1,,,,미분류
PPS-DEV-143,v11,0,1,,,,미분류
PPS-DEV-144,v6,0,1,,,,미분류
PPS-DEV-144,v15,0,1,,,,미분류
PPS-DEV-144,v20,0,1,,,,미분류
PPS-DEV-144,v24,0,1,,,,미분류
PPS-DEV-145,v24,0,1,,,,미분류
PPS-DEV-146,v10,0,1,,,,미분류
PPS-DEV-148,v9,0,1,,,,미분류
PPS-DEV-148,v13,0,1,,,,미분류
PPS-DEV-149,v16,0,1,,,,미분류
PPS-DEV-15,v24,0,1,,,,미분류
PPS-DEV-151,v18,0,1,,,,미분류
PPS-DEV-152,v1,0,1,,,,미분류
PPS-DEV-152,v10,0,1,,,,미분류
PPS-DEV-153,v24,0,1,,,,미분류
PPS-DEV-154,v18,0,1,,,,미분류
PPS-DEV-155,v11,0,1,,,,미분류
PPS-DEV-156,v9,0,1,,,,미분류
PPS-DEV-156,v10,0,1,,,,미분류
PPS-DEV-156,v24,0,1,,,,미분류
PPS-DEV-162,v9,0,1,,,,미분류
PPS-DEV-164,v10,0,1,,,,미분류
PPS-DEV-170,v3,0,1,,,,미분류
PPS-DEV-170,v21,0,1,,,,미분류
PPS-DEV-172,v17,0,1,,,,미분류
PPS-DEV-176,v9,0,1,,,,미분류
PPS-DEV-176,v24,0,1,,,,미분류
PPS-DEV-18,v10,0,1,,,,미분류
PPS-DEV-18,v15,1,0,,,,미분류
PPS-DEV-180,v9,0,1,,,,미분류
PPS-DEV-182,v10,0,1,,,,미분류
PPS-DEV-182,v24,0,1,,,,미분류
PPS-DEV-184,v13,0,1,,,,미분류
PPS-DEV-187,v6,0,1,,,,미분류
PPS-DEV-187,v18,0,1,,,,미분류
PPS-DEV-188,v21,0,1,,,,미분류
PPS-DEV-19,v15,1,0,,,,미분류
PPS-DEV-190,v10,0,1,,,,미분류
PPS-DEV-191,v22,0,1,,,,미분류
PPS-DEV-191,v24,0,1,,,,미분류
PPS-DEV-192,v13,0,1,,,,미분류
PPS-DEV-192,v24,0,1,,,,미분류
PPS-DEV-193,v13,0,1,,,,미분류
PPS-DEV-194,v15,0,1,,,,미분류
PPS-DEV-194,v17,0,1,,,,미분류
PPS-DEV-195,v24,0,1,,,,미분류
PPS-DEV-198,v13,0,1,,,,미분류
PPS-DEV-199,v24,0,1,,,,미분류
PPS-DEV-20,v16,1,0,,,,미분류
PPS-DEV-200,v10,0,1,,,,미분류
PPS-DEV-21,v10,0,1,,,,미분류
PPS-DEV-21,v17,1,0,,,,미분류
PPS-DEV-22,v18,1,0,,,,미분류
PPS-DEV-23,v4,0,1,,,,미분류
PPS-DEV-23,v10,0,1,,,,미분류
PPS-DEV-23,v11,0,1,,,,미분류
PPS-DEV-24,v20,1,0,,,,미분류
PPS-DEV-25,v3,0,1,,,,미분류
PPS-DEV-27,v23,1,0,,,,미분류
PPS-DEV-28,v23,1,0,,,,미분류
PPS-DEV-28,v24,0,1,,,,미분류
PPS-DEV-29,v24,1,0,,,,미분류
