id,item,true,pred,cause,evidence_location,owner,note
PPS-DEV-02,v13,0,1,,,,미분류
PPS-DEV-02,v17,0,1,,,,미분류
PPS-DEV-03,v2,1,0,,,,미분류
PPS-DEV-03,v3,0,1,,,,미분류
PPS-DEV-03,v13,0,1,,,,미분류
PPS-DEV-03,v17,0,1,,,,미분류
PPS-DEV-033,v17,1,0,,,,미분류
PPS-DEV-033,v19,1,0,,,,미분류
PPS-DEV-034,v13,0,1,,,,미분류
PPS-DEV-035,v17,1,0,,,,미분류
PPS-DEV-035,v23,0,1,,,,미분류
PPS-DEV-036,v13,0,1,,,,미분류
PPS-DEV-036,v15,1,0,,,,미분류
PPS-DEV-037,v5,0,1,,,,미분류
PPS-DEV-037,v16,1,0,,,,미분류
PPS-DEV-038,v13,0,1,,,,미분류
PPS-DEV-038,v17,0,1,,,,미분류
PPS-DEV-038,v18,1,0,,,,미분류
PPS-DEV-038,v24,0,1,,,,미분류
PPS-DEV-039,v13,0,1,,,,미분류
PPS-DEV-039,v17,0,1,,,,미분류
PPS-DEV-039,v18,1,0,,,,미분류
PPS-DEV-039,v24,0,1,,,,미분류
PPS-DEV-040,v18,1,0,,,,미분류
PPS-DEV-041,v17,0,1,,,,미분류
PPS-DEV-041,v18,1,0,,,,미분류
PPS-DEV-042,v13,0,1,,,,미분류
PPS-DEV-042,v17,1,0,,,,미분류
PPS-DEV-042,v21,0,1,,,,미분류
PPS-DEV-043,v13,0,1,,,,미분류
PPS-DEV-043,v18,1,0,,,,미분류
PPS-DEV-044,v17,0,1,,,,미분류
PPS-DEV-044,v18,1,0,,,,미분류
PPS-DEV-044,v24,0,1,,,,미분류
PPS-DEV-045,v5,1,0,,,,미분류
PPS-DEV-045,v13,0,1,,,,미분류
PPS-DEV-045,v14,1,0,,,,미분류
PPS-DEV-045,v24,0,1,,,,미분류
PPS-DEV-046,v1,1,0,,,,미분류
PPS-DEV-046,v13,0,1,,,,미분류
PPS-DEV-046,v24,0,1,,,,미분류
PPS-DEV-047,v13,0,1,,,,미분류
PPS-DEV-047,v14,1,0,,,,미분류
PPS-DEV-047,v24,0,1,,,,미분류
PPS-DEV-048,v13,0,1,,,,미분류
PPS-DEV-049,v5,1,0,,,,미분류
PPS-DEV-049,v12,1,0,,,,미분류
PPS-DEV-049,v14,1,0,,,,미분류
PPS-DEV-049,v21,1,0,,,,미분류
PPS-DEV-049,v24,1,0,,,,미분류
PPS-DEV-05,v13,0,1,,,,미분류
