id,item,true,pred,cause,evidence_location,owner,note
PPS-DEV-01,v1,1,0,,,,미분류
PPS-DEV-02,v2,1,0,,,,미분류
PPS-DEV-03,v2,1,0,,,,미분류
PPS-DEV-033,v17,1,0,,,,미분류
PPS-DEV-033,v19,1,0,,,,미분류
PPS-DEV-034,v19,1,0,,,,미분류
PPS-DEV-035,v1,1,0,,,,미분류
PPS-DEV-035,v17,1,0,,,,미분류
PPS-DEV-035,v19,1,0,,,,미분류
PPS-DEV-036,v15,1,0,,,,미분류
PPS-DEV-036,v19,1,0,,,,미분류
PPS-DEV-037,v16,1,0,,,,미분류
PPS-DEV-037,v19,1,0,,,,미분류
PPS-DEV-038,v18,1,0,,,,미분류
PPS-DEV-039,v7,1,0,,,,미분류
PPS-DEV-039,v18,1,0,,,,미분류
PPS-DEV-04,v3,1,0,,,,미분류
PPS-DEV-040,v18,1,0,,,,미분류
PPS-DEV-041,v18,1,0,,,,미분류
PPS-DEV-042,v2,1,0,,,,미분류
PPS-DEV-042,v3,1,0,,,,미분류
PPS-DEV-042,v4,1,0,,,,미분류
PPS-DEV-042,v8,1,0,,,,미분류
PPS-DEV-042,v17,1,0,,,,미분류
PPS-DEV-043,v18,1,0,,,,미분류
PPS-DEV-044,v18,1,0,,,,미분류
PPS-DEV-045,v5,1,0,,,,미분류
PPS-DEV-045,v14,1,0,,,,미분류
PPS-DEV-046,v1,1,0,,,,미분류
PPS-DEV-046,v5,1,0,,,,미분류
PPS-DEV-047,v5,1,0,,,,미분류
PPS-DEV-047,v14,1,0,,,,미분류
PPS-DEV-048,v5,1,0,,,,미분류
PPS-DEV-048,v8,1,0,,,,미분류
PPS-DEV-049,v1,1,0,,,,미분류
PPS-DEV-049,v5,1,0,,,,미분류
PPS-DEV-049,v12,1,0,,,,미분류
PPS-DEV-049,v14,1,0,,,,미분류
PPS-DEV-049,v21,1,0,,,,미분류
PPS-DEV-049,v24,1,0,,,,미분류
PPS-DEV-05,v3,1,0,,,,미분류
PPS-DEV-05,v8,1,0,,,,미분류
PPS-DEV-050,v7,1,0,,,,미분류
PPS-DEV-050,v9,1,0,,,,미분류
PPS-DEV-051,v3,1,0,,,,미분류
PPS-DEV-051,v4,1,0,,,,미분류
PPS-DEV-051,v9,1,0,,,,미분류
PPS-DEV-051,v14,1,0,,,,미분류
PPS-DEV-052,v9,1,0,,,,미분류
PPS-DEV-052,v14,1,0,,,,미분류
PPS-DEV-053,v2,1,0,,,,미분류
PPS-DEV-053,v3,1,0,,,,미분류
PPS-DEV-053,v4,1,0,,,,미분류
PPS-DEV-053,v12,1,0,,,,미분류
PPS-DEV-053,v17,1,0,,,,미분류
PPS-DEV-054,v7,1,0,,,,미분류
PPS-DEV-054,v8,1,0,,,,미분류
PPS-DEV-054,v12,1,0,,,,미분류
PPS-DEV-054,v14,1,0,,,,미분류
PPS-DEV-055,v15,1,0,,,,미분류
PPS-DEV-055,v21,1,0,,,,미분류
PPS-DEV-055,v24,1,0,,,,미분류
PPS-DEV-056,v12,1,0,,,,미분류
PPS-DEV-056,v21,1,0,,,,미분류
PPS-DEV-057,v5,1,0,,,,미분류
PPS-DEV-057,v12,1,0,,,,미분류
PPS-DEV-057,v14,1,0,,,,미분류
PPS-DEV-057,v24,1,0,,,,미분류
PPS-DEV-058,v1,1,0,,,,미분류
