id,item,true,pred,cause,evidence_location,owner,note
PPS-DEV-03,v2,1,0,,,,미분류
PPS-DEV-03,v13,0,1,,,,미분류
PPS-DEV-033,v17,1,0,,,,미분류
PPS-DEV-033,v19,1,0,,,,미분류
PPS-DEV-035,v17,1,0,,,,미분류
PPS-DEV-036,v15,1,0,,,,미분류
PPS-DEV-036,v19,1,0,,,,미분류
PPS-DEV-037,v16,1,0,,,,미분류
PPS-DEV-038,v18,1,0,,,,미분류
PPS-DEV-039,v13,0,1,,,,미분류
PPS-DEV-039,v18,1,0,,,,미분류
PPS-DEV-040,v18,1,0,,,,미분류
PPS-DEV-041,v18,1,0,,,,미분류
PPS-DEV-043,v18,1,0,,,,미분류
PPS-DEV-044,v18,1,0,,,,미분류
PPS-DEV-044,v24,0,1,,,,미분류
PPS-DEV-045,v5,1,0,,,,미분류
PPS-DEV-045,v14,1,0,,,,미분류
PPS-DEV-046,v1,1,0,,,,미분류
PPS-DEV-047,v14,1,0,,,,미분류
PPS-DEV-049,v5,1,0,,,,미분류
PPS-DEV-049,v12,1,0,,,,미분류
PPS-DEV-049,v14,1,0,,,,미분류
PPS-DEV-049,v21,1,0,,,,미분류
PPS-DEV-049,v24,1,0,,,,미분류
PPS-DEV-051,v9,1,0,,,,미분류
PPS-DEV-051,v14,1,0,,,,미분류
PPS-DEV-052,v4,0,1,,,,미분류
PPS-DEV-052,v14,1,0,,,,미분류
PPS-DEV-053,v2,1,0,,,,미분류
PPS-DEV-053,v12,1,0,,,,미분류
PPS-DEV-054,v14,1,0,,,,미분류
PPS-DEV-055,v15,1,0,,,,미분류
PPS-DEV-055,v24,1,0,,,,미분류
PPS-DEV-056,v12,1,0,,,,미분류
PPS-DEV-056,v13,0,1,,,,미분류
PPS-DEV-056,v21,1,0,,,,미분류
PPS-DEV-057,v12,1,0,,,,미분류
PPS-DEV-057,v14,1,0,,,,미분류
PPS-DEV-058,v16,1,0,,,,미분류
PPS-DEV-060,v11,1,0,,,,미분류
PPS-DEV-061,v10,1,0,,,,미분류
PPS-DEV-061,v11,1,0,,,,미분류
PPS-DEV-062,v10,1,0,,,,미분류
PPS-DEV-062,v11,1,0,,,,미분류
PPS-DEV-062,v24,1,0,,,,미분류
PPS-DEV-063,v1,1,0,,,,미분류
PPS-DEV-064,v10,1,0,,,,미분류
PPS-DEV-064,v11,1,0,,,,미분류
PPS-DEV-065,v16,1,0,,,,미분류
PPS-DEV-066,v6,1,0,,,,미분류
PPS-DEV-066,v16,1,0,,,,미분류
PPS-DEV-067,v16,1,0,,,,미분류
PPS-DEV-068,v10,1,0,,,,미분류
PPS-DEV-068,v17,0,1,,,,미분류
PPS-DEV-069,v2,1,0,,,,미분류
PPS-DEV-069,v10,1,0,,,,미분류
PPS-DEV-071,v24,1,0,,,,미분류
PPS-DEV-072,v1,1,0,,,,미분류
PPS-DEV-072,v24,1,0,,,,미분류
PPS-DEV-075,v10,1,0,,,,미분류
PPS-DEV-076,v13,1,0,,,,미분류
PPS-DEV-077,v13,1,0,,,,미분류
PPS-DEV-078,v2,1,0,,,,미분류
PPS-DEV-079,v15,1,0,,,,미분류
PPS-DEV-080,v15,1,0,,,,미분류
PPS-DEV-088,v9,0,1,,,,미분류
PPS-DEV-090,v17,0,1,,,,미분류
PPS-DEV-10,v24,0,1,,,,미분류
PPS-DEV-110,v9,0,1,,,,미분류
PPS-DEV-112,v17,0,1,,,,미분류
PPS-DEV-12,v9,1,0,,,,미분류
PPS-DEV-124,v20,0,1,,,,미분류
PPS-DEV-128,v9,0,1,,,,미분류
PPS-DEV-13,v10,1,0,,,,미분류
PPS-DEV-133,v4,0,1,,,,미분류
PPS-DEV-135,v20,0,1,,,,미분류
PPS-DEV-135,v22,1,0,,,,미분류
PPS-DEV-136,v17,0,1,,,,미분류
PPS-DEV-137,v17,0,1,,,,미분류
PPS-DEV-143,v11,0,1,,,,미분류
PPS-DEV-152,v1,0,1,,,,미분류
PPS-DEV-155,v11,0,1,,,,미분류
PPS-DEV-156,v9,0,1,,,,미분류
PPS-DEV-160,v9,0,1,,,,미분류
PPS-DEV-162,v9,0,1,,,,미분류
PPS-DEV-17,v14,1,0,,,,미분류
PPS-DEV-17,v17,0,1,,,,미분류
PPS-DEV-176,v9,0,1,,,,미분류
PPS-DEV-18,v15,1,0,,,,미분류
PPS-DEV-180,v9,0,1,,,,미분류
PPS-DEV-188,v17,0,1,,,,미분류
PPS-DEV-19,v15,1,0,,,,미분류
PPS-DEV-191,v22,0,1,,,,미분류
PPS-DEV-193,v13,0,1,,,,미분류
PPS-DEV-20,v16,1,0,,,,미분류
PPS-DEV-21,v17,1,0,,,,미분류
PPS-DEV-22,v18,1,0,,,,미분류
