# 무라벨 2,000건(run-1790141381430477242 u00~u03, 코드 14f03d1 원응답)을 HEAD 와 B6 세 판본으로 재생해 바뀐 v9 셀. 방향은 HEAD 대비. 정답 없음 — 꼴만 본다.
HEAD v9=1 136 / 2000
== off: outside=0 down=0 (0.00%) up=12 (0.60%) e9-only=0 | dev down 0 up 4 (2.0%)
   UP  PPS-D-020694 | HEAD:  | NEW: 현대 유니버스 수소전기버스
   UP  PPS-D-014789 | HEAD:  | NEW: CPU : Digital Signal Controller(TMS320F28335)
   UP  PPS-D-020710 | HEAD:  | NEW: DANFOSS APP 8.2
   UP  PPS-D-021018 | HEAD:  | NEW: 모델명 : Vanquish core HPLC System (동등 및 상위기종 이상)
   UP  PPS-D-012173 | HEAD:  | NEW: 국가정보원 CC인증 EAL4 必
   UP  PPS-D-017552 | HEAD:  | NEW: 모 델 : DH360/300C
   UP  PPS-D-020494 | HEAD:  | NEW: 구매희망 [NVIDIA] RTX PRO 6000
   UP  PPS-D-020827 | HEAD:  | NEW: 기존 장례식장에 설치된 냉난방기(삼성전자) 제품과 제어 및 운영상 호환이 가능한 동등 이상의 제품이어야 하므
   UP  PPS-D-010127 | HEAD:  | NEW: 시사운드 아키텍처 : 다양한 XDclear 프로브와 새로운 시사운드 Imageformer 결합
   UP  PPS-D-012248 | HEAD:  | NEW: 양이온성 에멀젼(C-840TBD 동등이상)
   UP  PPS-D-010519 | HEAD:  | NEW: Mic2 일체(송신기, 윈드스크린, 클립 마그넷)
   UP  PPS-D-017518 | HEAD:  | NEW: 친환경 eVGT 엔진(Tier-5) 장착된 제품 – 대용량 SCR 배기파이프 적용
== h2: outside=0 down=0 (0.00%) up=9 (0.45%) e9-only=0 | dev down 0 up 2 (1.0%)
   UP  PPS-D-020694 | HEAD:  | NEW: 현대 유니버스 수소전기버스
   UP  PPS-D-014789 | HEAD:  | NEW: CPU : Digital Signal Controller(TMS320F28335)
   UP  PPS-D-020710 | HEAD:  | NEW: DANFOSS APP 8.2
   UP  PPS-D-012173 | HEAD:  | NEW: 국가정보원 CC인증 EAL4 必
   UP  PPS-D-017552 | HEAD:  | NEW: 모 델 : DH360/300C
   UP  PPS-D-020494 | HEAD:  | NEW: 구매희망 [NVIDIA] RTX PRO 6000
   UP  PPS-D-010127 | HEAD:  | NEW: 시사운드 아키텍처 : 다양한 XDclear 프로브와 새로운 시사운드 Imageformer 결합
   UP  PPS-D-010519 | HEAD:  | NEW: Mic2 일체(송신기, 윈드스크린, 클립 마그넷)
