episode,arm,consumer,item,tp,fp,fn,precision,recall,f1,support
1,control,off,v1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154,7
1,control,off,v2,3,0,4,1.0,0.42857142857142855,0.6,7
1,control,off,v3,8,5,0,0.6153846153846154,1.0,0.7619047619047619,8
1,control,off,v4,6,3,0,0.6666666666666666,1.0,0.8,6
1,control,off,v5,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
1,control,off,v6,3,4,3,0.42857142857142855,0.5,0.46153846153846156,6
1,control,off,v7,7,0,0,1.0,1.0,1.0,7
1,control,off,v8,6,0,0,1.0,1.0,1.0,6
1,control,off,v9,5,12,1,0.29411764705882354,0.8333333333333334,0.43478260869565216,6
1,control,off,v10,4,8,3,0.3333333333333333,0.5714285714285714,0.42105263157894735,7
1,control,off,v11,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,control,off,v12,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,control,off,v13,4,9,2,0.3076923076923077,0.6666666666666666,0.42105263157894735,6
1,control,off,v14,7,2,1,0.7777777777777778,0.875,0.8235294117647058,8
1,control,off,v15,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,control,off,v16,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,control,off,v17,5,6,1,0.45454545454545453,0.8333333333333334,0.5882352941176471,6
1,control,off,v18,1,3,6,0.25,0.14285714285714285,0.18181818181818182,7
1,control,off,v19,5,3,1,0.625,0.8333333333333334,0.7142857142857143,6
1,control,off,v20,1,4,4,0.2,0.2,0.2,5
1,control,off,v21,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666666,6
1,control,off,v22,4,1,1,0.8,0.8,0.8,5
1,control,off,v23,1,1,4,0.5,0.2,0.2857142857142857,5
1,control,off,v24,5,36,3,0.12195121951219512,0.625,0.20408163265306123,8
1,control,on,v1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154,7
1,control,on,v2,3,0,4,1.0,0.42857142857142855,0.6,7
1,control,on,v3,8,5,0,0.6153846153846154,1.0,0.7619047619047619,8
1,control,on,v4,6,3,0,0.6666666666666666,1.0,0.8,6
1,control,on,v5,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
1,control,on,v6,3,4,3,0.42857142857142855,0.5,0.46153846153846156,6
1,control,on,v7,7,0,0,1.0,1.0,1.0,7
1,control,on,v8,6,0,0,1.0,1.0,1.0,6
1,control,on,v9,5,12,1,0.29411764705882354,0.8333333333333334,0.43478260869565216,6
1,control,on,v10,4,8,3,0.3333333333333333,0.5714285714285714,0.42105263157894735,7
1,control,on,v11,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,control,on,v12,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,control,on,v13,4,9,2,0.3076923076923077,0.6666666666666666,0.42105263157894735,6
1,control,on,v14,7,2,1,0.7777777777777778,0.875,0.8235294117647058,8
1,control,on,v15,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,control,on,v16,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,control,on,v17,5,6,1,0.45454545454545453,0.8333333333333334,0.5882352941176471,6
1,control,on,v18,1,3,6,0.25,0.14285714285714285,0.18181818181818182,7
1,control,on,v19,5,3,1,0.625,0.8333333333333334,0.7142857142857143,6
1,control,on,v20,1,4,4,0.2,0.2,0.2,5
1,control,on,v21,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666666,6
1,control,on,v22,4,1,1,0.8,0.8,0.8,5
1,control,on,v23,1,1,4,0.5,0.2,0.2857142857142857,5
1,control,on,v24,5,36,3,0.12195121951219512,0.625,0.20408163265306123,8
1,v18,off,v1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154,7
1,v18,off,v2,3,0,4,1.0,0.42857142857142855,0.6,7
1,v18,off,v3,8,5,0,0.6153846153846154,1.0,0.7619047619047619,8
1,v18,off,v4,6,3,0,0.6666666666666666,1.0,0.8,6
1,v18,off,v5,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
1,v18,off,v6,3,4,3,0.42857142857142855,0.5,0.46153846153846156,6
1,v18,off,v7,7,0,0,1.0,1.0,1.0,7
1,v18,off,v8,6,0,0,1.0,1.0,1.0,6
1,v18,off,v9,5,12,1,0.29411764705882354,0.8333333333333334,0.43478260869565216,6
1,v18,off,v10,4,7,3,0.36363636363636365,0.5714285714285714,0.4444444444444444,7
1,v18,off,v11,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,v18,off,v12,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,v18,off,v13,4,10,2,0.2857142857142857,0.6666666666666666,0.4,6
1,v18,off,v14,7,2,1,0.7777777777777778,0.875,0.8235294117647058,8
1,v18,off,v15,6,1,0,0.8571428571428571,1.0,0.9230769230769231,6
1,v18,off,v16,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
1,v18,off,v17,5,6,1,0.45454545454545453,0.8333333333333334,0.5882352941176471,6
1,v18,off,v18,1,3,6,0.25,0.14285714285714285,0.18181818181818182,7
1,v18,off,v19,5,3,1,0.625,0.8333333333333334,0.7142857142857143,6
1,v18,off,v20,1,5,4,0.16666666666666666,0.2,0.18181818181818182,5
1,v18,off,v21,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666666,6
1,v18,off,v22,4,1,1,0.8,0.8,0.8,5
1,v18,off,v23,1,1,4,0.5,0.2,0.2857142857142857,5
1,v18,off,v24,5,36,3,0.12195121951219512,0.625,0.20408163265306123,8
1,v18,on,v1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154,7
1,v18,on,v2,3,0,4,1.0,0.42857142857142855,0.6,7
1,v18,on,v3,8,5,0,0.6153846153846154,1.0,0.7619047619047619,8
1,v18,on,v4,6,3,0,0.6666666666666666,1.0,0.8,6
1,v18,on,v5,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
1,v18,on,v6,3,4,3,0.42857142857142855,0.5,0.46153846153846156,6
1,v18,on,v7,7,0,0,1.0,1.0,1.0,7
1,v18,on,v8,6,0,0,1.0,1.0,1.0,6
1,v18,on,v9,5,12,1,0.29411764705882354,0.8333333333333334,0.43478260869565216,6
1,v18,on,v10,4,7,3,0.36363636363636365,0.5714285714285714,0.4444444444444444,7
1,v18,on,v11,2,3,4,0.4,0.3333333333333333,0.36363636363636365,6
1,v18,on,v12,4,1,2,0.8,0.6666666666666666,0.7272727272727273,6
1,v18,on,v13,4,10,2,0.2857142857142857,0.6666666666666666,0.4,6
1,v18,on,v14,7,2,1,0.7777777777777778,0.875,0.8235294117647058,8
1,v18,on,v15,6,1,0,0.8571428571428571,1.0,0.9230769230769231,6
1,v18,on,v16,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
1,v18,on,v17,5,6,1,0.45454545454545453,0.8333333333333334,0.5882352941176471,6
1,v18,on,v18,1,3,6,0.25,0.14285714285714285,0.18181818181818182,7
1,v18,on,v19,5,3,1,0.625,0.8333333333333334,0.7142857142857143,6
1,v18,on,v20,1,5,4,0.16666666666666666,0.2,0.18181818181818182,5
