item,owner,tp,fp,fn,precision,recall,f1,support,predicted_positive,empty_positive_evidence,positive_records_complete,positive_records_truncated
v1,D,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154,7,6,2,6,2
v2,D,3,0,4,1.0,0.42857142857142855,0.6,7,3,0,6,2
v3,D,8,10,0,0.4444444444444444,1.0,0.6153846153846154,8,18,1,8,2
v4,D,0,2,6,0.0,0.0,0.0,6,2,0,6,1
v5,D,5,5,2,0.5,0.7142857142857143,0.5882352941176471,7,10,0,7,2
v6,D,3,5,3,0.375,0.5,0.42857142857142855,6,8,3,6,2
v7,D,0,0,7,0.0,0.0,0.0,7,0,0,7,2
v8,D,0,0,6,0.0,0.0,0.0,6,0,0,6,2
v9,B,5,16,1,0.23809523809523808,0.8333333333333334,0.37037037037037035,6,21,3,6,0
v10,C,0,0,7,0.0,0.0,0.0,7,0,0,6,1
v11,C,0,0,6,0.0,0.0,0.0,6,0,0,6,1
v12,C,0,0,6,0.0,0.0,0.0,6,0,0,6,1
v13,C,1,5,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6,0,6,2
v14,C,0,0,8,0.0,0.0,0.0,8,0,0,8,2
v15,C,0,1,6,0.0,0.0,0.0,6,1,0,6,1
v16,C,0,0,6,0.0,0.0,0.0,6,0,0,6,1
v17,C,3,42,3,0.06666666666666667,0.5,0.11764705882352941,6,45,9,6,0
v18,C,0,0,7,0.0,0.0,0.0,7,0,0,7,2
v19,B,6,20,0,0.23076923076923078,1.0,0.375,6,26,1,6,1
v20,C,0,0,5,0.0,0.0,0.0,5,0,0,2,2
v21,B,4,32,2,0.1111111111111111,0.6666666666666666,0.19047619047619047,6,36,3,5,1
v22,D,4,1,1,0.8,0.8,0.8,5,5,0,4,5
v23,D,1,1,4,0.5,0.2,0.2857142857142857,5,2,0,3,4
v24,B,4,43,4,0.0851063829787234,0.5,0.14545454545454545,8,47,26,8,0
