item,owner,ticket,baseline_commit,tp,fp,fn,max_tp_across_six_runs,positive_ids,candidate_status
v4,D,D3,654c556,0,2,6,3,PPS-DEV-06|PPS-DEV-042|PPS-DEV-051|PPS-DEV-053|PPS-DEV-059|PPS-DEV-062,not_run
v7,D,D2,654c556,0,0,7,0,PPS-DEV-09|PPS-DEV-10|PPS-DEV-039|PPS-DEV-050|PPS-DEV-054|PPS-DEV-063|PPS-DEV-072,not_run
v8,D,D1,654c556,0,0,6,0,PPS-DEV-05|PPS-DEV-11|PPS-DEV-042|PPS-DEV-048|PPS-DEV-054|PPS-DEV-071,not_run
v10,C,C4,654c556,0,0,7,0,PPS-DEV-13|PPS-DEV-061|PPS-DEV-062|PPS-DEV-064|PPS-DEV-068|PPS-DEV-069|PPS-DEV-075,not_run
v11,C,C4,654c556,0,0,6,0,PPS-DEV-14|PPS-DEV-060|PPS-DEV-061|PPS-DEV-062|PPS-DEV-063|PPS-DEV-064,not_run
v12,C,C4,654c556,0,0,6,0,PPS-DEV-15|PPS-DEV-049|PPS-DEV-053|PPS-DEV-054|PPS-DEV-056|PPS-DEV-057,not_run
v14,C,C5,654c556,0,0,8,0,PPS-DEV-17|PPS-DEV-045|PPS-DEV-047|PPS-DEV-049|PPS-DEV-051|PPS-DEV-052|PPS-DEV-054|PPS-DEV-057,not_run
v15,C,C5,654c556,0,1,6,0,PPS-DEV-18|PPS-DEV-19|PPS-DEV-036|PPS-DEV-055|PPS-DEV-079|PPS-DEV-080,not_run
v16,C,C3,654c556,0,0,6,0,PPS-DEV-20|PPS-DEV-037|PPS-DEV-058|PPS-DEV-065|PPS-DEV-066|PPS-DEV-067,not_run
v18,C,C3,654c556,0,0,7,0,PPS-DEV-22|PPS-DEV-038|PPS-DEV-039|PPS-DEV-040|PPS-DEV-041|PPS-DEV-043|PPS-DEV-044,not_run
v20,C,C7,654c556,0,0,5,0,PPS-DEV-24|PPS-DEV-131|PPS-DEV-132|PPS-DEV-133|PPS-DEV-134,not_run
